"","file","date","time_point","culture_ID","metaecosystem","metaecosystem_nr","patch_type","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean","Ble_indiv_per_volume","Cep_indiv_per_volume","Col_indiv_per_volume","Eug_indiv_per_volume","Eup_indiv_per_volume","Lox_indiv_per_volume","Pau_indiv_per_volume","Pca_indiv_per_volume","Spi_indiv_per_volume","Spi te_indiv_per_volume","Tet_indiv_per_volume"
"12","sample_00012","22.09.2023",0,12,"no","not_in_a_metaecosystem","dark",34.896,1.01441860465116,39063.5379,1135.5679622093,46.7675498357735,42.3309930409633,19.9385293473855,10.1838036244777,311.952039251665,330.288653076115,204.760892857143,279.883569872622,0.494821428571429,0.0355813953488372,0.0167441860465116,0.0681395348837209,0.608837209302326,0.0290697674418605,0.132558139534884,0.0541860465116279,0.0511627906976744,0,0.0181395348837209,0
"13","sample_00013","22.09.2023",0,13,"yes","1","light",20.152,0.585813953488372,97886.70828,2845.54384534884,112.248172367646,153.608841638178,28.0457133763283,22.4285861047481,410.858160745199,309.017251072989,290.927878787879,294.347764937132,0.451212121212121,0,0,0.112093023255814,0.101162790697674,0.0781395348837209,0.10953488372093,0.0416279069767442,0.0355813953488372,0.0425581395348837,0.0651162790697675,0
"14","sample_00014","22.09.2023",0,14,"yes","1","dark",22.416,0.651627906976744,42488.24868,1235.12350813953,58.0207436168631,78.8574850665895,19.024879086563,12.8251061039097,204.585092384854,244.275342119767,150.453333333333,232.569845754745,0.56974358974359,0.0290697674418605,0.00767441860465116,0,0.432790697674419,0,0.0613953488372093,0.0579069767441861,0.00883720930232558,0,0.053953488372093,0
"15","sample_00015","22.09.2023",0,15,"yes","2","light",36.656,1.06558139534884,68223.63996,1983.24534767442,57.2134902541806,73.7048923474751,20.2462951035372,13.0005342641187,229.138279404245,228.730446264881,157.771206896552,211.292061400325,0.558103448275862,0.0290697674418605,0.0530232558139535,0.0672093023255814,0.656744186046512,0,0.113953488372093,0.00883720930232558,0.033953488372093,0,0.102790697674419,0
"16","sample_00016","22.09.2023",0,16,"yes","2","dark",30.52,0.887209302325581,85258.35792,2478.4406372093,64.6671419525576,108.375231449643,22.2108692234935,14.8905088688161,309.789634055358,303.181827178676,220.365333333333,256.519285271817,0.586666666666667,0.0290697674418605,0.00953488372093023,0.0290697674418605,0.41093023255814,0.0290697674418605,0.235581395348837,0.0483720930232558,0.0525581395348837,0.0372093023255814,0.00581395348837209,0
"17","sample_00017","22.09.2023",0,17,"yes","3","light",26.6,0.773255813953488,145513.92582,4230.05598313953,85.4935536490054,161.735071720235,23.4450155381777,20.5086440280621,299.506792649489,298.682966261151,202.723023255814,260.693207562479,0.603255813953488,0,0.0525581395348837,0.0327906976744186,0.353488372093023,0,0.126279069767442,0.0548837209302326,0.0813953488372093,0.0718604651162791,0,0
"18","sample_00018","22.09.2023",0,18,"yes","3","dark",19.92,0.579069767441861,11481.75,333.771802325581,35.5880016578043,16.9315967858029,17.0116020691254,6.30584260328303,301.639730943146,309.951405146034,213.585,274.912974781522,0.5725,0,0.0109302325581395,0.112558139534884,0.29906976744186,0.0581395348837209,0.0734883720930233,0.0248837209302326,0,0,0,0
"19","sample_00019","22.09.2023",0,19,"yes","4","light",29.528,0.858372093023256,70047.99162,2036.27882616279,55.9393197052932,103.671003044049,19.7356925581026,11.5150364439452,268.722320103877,296.02115565768,185.347551020408,258.439577267191,0.564285714285714,0,0.0248837209302326,0.0827906976744186,0.472790697674419,0.0581395348837209,0.135116279069767,0.0290697674418605,0.0265116279069767,0.0290697674418605,0,0
"20","sample_00020","22.09.2023",0,20,"yes","4","dark",22.264,0.647209302325581,159129.31302,4625.85212267442,117.855055405338,184.564697675002,34.006746302193,33.007097530338,355.903046577886,316.469029478368,204.443235294118,273.740043524161,0.560882352941176,0.0365116279069767,0.017906976744186,0.072093023255814,0.26046511627907,0,0.121627906976744,0.0290697674418605,0.0348837209302326,0.0746511627906977,0,0
"21","sample_00021","22.09.2023",0,21,"yes","5","light",27.024,0.785581395348837,48774.21156,1417.8549872093,69.2398013020152,109.079420526801,21.809556126231,13.4513351942024,365.953170854591,378.855699672311,272.77525,357.287461612602,0.45475,0,0,0.0351162790697674,0.438604651162791,0.0713953488372093,0.106279069767442,0.0593023255813954,0.033953488372093,0.0118604651162791,0.0290697674418605,0
"22","sample_00022","22.09.2023",0,22,"yes","5","dark",26.68,0.775581395348837,20027.32128,582.189572093023,39.0366735008501,20.4454602119251,18.913438698666,8.07006477807959,259.843404081162,286.713719361914,162.37425,221.031255614217,0.61175,0,0.0704651162790698,0,0.437674418604651,0.0290697674418605,0.209302325581395,0.0290697674418605,0,0,0,0
"23","sample_00023","22.09.2023",0,23,"yes","6","light",21.512,0.625348837209302,104836.77558,3047.58068546512,116.718083053599,194.239208958166,26.7551076771236,21.9321236545027,404.233480285925,364.082388413986,330.466363636364,350.718342154875,0.435151515151515,0.0262790697674419,0,0.0374418604651163,0.268604651162791,0.0290697674418605,0.143023255813954,0,0.0358139534883721,0.0427906976744186,0.0423255813953488,0
"24","sample_00024","22.09.2023",0,24,"yes","6","dark",21.736,0.631860465116279,14104.05048,410.00146744186,36.5042539411381,13.6800667888019,19.2670286147196,6.02872640554085,394.096453534226,355.527125261469,261.57,272.222864889689,0.513030303030303,0.0290697674418605,0.0206976744186047,0.012093023255814,0.284418604651163,0.0290697674418605,0.256511627906977,0,0,0,0,0
