"","file","date","time_point","culture_ID","metaecosystem","metaecosystem_nr","patch_type","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean","Ble_indiv_per_volume","Cep_indiv_per_volume","Col_indiv_per_volume","Eug_indiv_per_volume","Eup_indiv_per_volume","Lox_indiv_per_volume","Pau_indiv_per_volume","Pca_indiv_per_volume","Spi_indiv_per_volume","Spi te_indiv_per_volume","Tet_indiv_per_volume"
"1","sample_00001","22.09.2023",0,1,"no","not_in_a_metaecosystem","light",45.712,1.32883720930233,122010.58674,3546.81938197674,69.7060414245655,130.119752985568,20.7598808006732,12.7226992686805,342.800396770741,307.436341833301,268.199393939394,285.312938566538,0.423939393939394,0,0.0290697674418605,0.180232558139535,0.746046511627907,0.0406976744186046,0.0948837209302326,0.0662790697674419,0.11953488372093,0.0288372093023256,0.0232558139534884,0
"2","sample_00002","22.09.2023",0,2,"no","not_in_a_metaecosystem","dark",38.344,1.1146511627907,114023.88144,3314.64771627907,64.026164769175,130.24497310794,19.752213927934,12.9271067845941,248.70949639886,301.072022093896,184.313333333333,277.436126929797,0.515238095238095,0.0251162790697674,0.0206976744186047,0.0586046511627907,0.719767441860465,0.0434883720930233,0.0825581395348837,0.0295348837209302,0.0453488372093023,0.0290697674418605,0.0604651162790698,0
"3","sample_00003","22.09.2023",0,3,"no","not_in_a_metaecosystem","light",32.504,0.944883720930233,13423.67478,390.223104069767,30.5682632158387,10.1249651564147,14.9687018412046,4.232966894354,128.437053839191,138.994069467071,73.3353658536585,91.1982382806148,0.592439024390244,0,0,0.016046511627907,0.842325581395349,0.0288372093023256,0.0290697674418605,0.0286046511627907,0,0,0,0
"4","sample_00004","22.09.2023",0,4,"no","not_in_a_metaecosystem","dark",30.776,0.894651162790698,18965.09538,551.310912209302,38.3649741654685,21.7285346789019,18.4655020687277,6.95000730202397,203.034344221548,271.436085778711,152.351395348837,250.886038268387,0.60906976744186,0,0.0623255813953488,0.0290697674418605,0.68953488372093,0,0.0651162790697675,0.0290697674418605,0.0134883720930233,0.00604651162790698,0,0
"5","sample_00005","22.09.2023",0,5,"no","not_in_a_metaecosystem","light",45.648,1.32697674418605,64116.0603,1863.8389622093,57.2398208652426,82.0771503950013,20.8020556708016,12.2750208481825,264.731981360104,302.777771667185,188.899452054795,285.37319286375,0.581369863013699,0.0290697674418605,0.0737209302325581,0.0497674418604651,0.791860465116279,0.043953488372093,0.134651162790698,0.0872093023255814,0.0846511627906977,0.00930232558139535,0.0227906976744186,0
"6","sample_00006","22.09.2023",0,6,"no","not_in_a_metaecosystem","dark",18.2,0.529069767441861,27341.13042,794.800302906977,52.2033783722538,60.3523634997245,20.3026607731246,9.44224810832108,279.253260413649,290.868055813973,194.895357142857,257.877594541547,0.5825,0,0.0483720930232558,0.0293023255813953,0.281860465116279,0,0.0737209302325581,0.0290697674418605,0.027906976744186,0,0.0388372093023256,0
"7","sample_00007","22.09.2023",0,7,"no","not_in_a_metaecosystem","light",32.544,0.946046511627907,83497.2543,2427.24576453488,78.6710893309675,142.285930444032,24.1154855502472,21.5094763630498,214.597006531329,232.610720876036,144.902156862745,213.536651920121,0.617843137254902,0,0.0672093023255814,0.0537209302325581,0.581860465116279,0.0867441860465116,0.0848837209302326,0,0.0165116279069767,0.0355813953488372,0.0195348837209302,0
"8","sample_00008","22.09.2023",0,8,"no","not_in_a_metaecosystem","dark",25.8,0.75,25147.13202,731.021279651163,50.6527858277403,72.1922801511193,18.2538257370334,11.8724879203566,174.672818643937,179.436606250858,110.772195121951,148.096959413625,0.539756097560976,0.0290697674418605,0,0.043953488372093,0.558604651162791,0.0290697674418605,0.0486046511627907,0,0.0204651162790698,0.00744186046511628,0.0127906976744186,0
"9","sample_00009","22.09.2023",0,9,"no","not_in_a_metaecosystem","light",16.872,0.49046511627907,20269.5534,589.231203488372,55.1862082493649,52.5102213967607,20.7673883982945,9.47846519351439,242.358513752733,195.063745458444,154.727142857143,172.546689953058,0.523214285714286,0.0109302325581395,0.0353488372093023,0.0086046511627907,0.232325581395349,0.0581395348837209,0.073953488372093,0.0409302325581395,0.0118604651162791,0,0.0183720930232558,0
"10","sample_00010","22.09.2023",0,10,"no","not_in_a_metaecosystem","dark",40.56,1.17906976744186,71628.79896,2082.23252790698,61.9793827908344,95.1085561060983,20.5315645225843,14.6755541142244,224.110096846248,209.323166070041,161.857837837838,195.68346058353,0.512837837837838,0.0290697674418605,0.00627906976744186,0.0618604651162791,0.814883720930233,0.012093023255814,0.0574418604651163,0.0513953488372093,0.0674418604651163,0.0118604651162791,0.0667441860465116,0
"11","sample_00011","22.09.2023",0,11,"no","not_in_a_metaecosystem","light",34.76,1.01046511627907,132221.2086,3843.63978488372,100.721696524457,177.340389250307,27.189411060969,22.6291580665947,306.435919278158,303.514813673385,189.016666666667,248.005723130859,0.495185185185185,0,0.0534883720930233,0.0416279069767442,0.522093023255814,0.0523255813953488,0.133720930232558,0.0988372093023256,0.036046511627907,0.0511627906976744,0.0211627906976744,0
